0 212 tensor(0.1140, device='cuda:0') tensor(0.0200, device='cuda:0')
0 213 tensor(0.2985, device='cuda:0') tensor(0.0800, device='cuda:0')
0 214 tensor(0.2700, device='cuda:0') tensor(0.0600, device='cuda:0')
0 215 tensor(0.4304, device='cuda:0') tensor(0.1600, device='cuda:0')
0 216 tensor(0.2497, device='cuda:0') tensor(0.1200, device='cuda:0')
0 217 tensor(0.3241, device='cuda:0') tensor(0.1200, device='cuda:0')
0 218 tensor(0.2629, device='cuda:0') tensor(0.0800, device='cuda:0')
0 219 tensor(0.2442, device='cuda:0') tensor(0.0600, device='cuda:0')
0 220 tensor(0.1508, device='cuda:0') tensor(0.0800, device='cuda:0')
0 221 tensor(0.1546, device='cuda:0') tensor(0.0600, device='cuda:0')
0 222 tensor(0.3416, device='cuda:0') tensor(0.1200, device='cuda:0')
0 223 tensor(0.5648, device='cuda:0') tensor(0.1800, device='cuda:0')
0 224 tensor(0.2084, device='cuda:0') tensor(0.0600, device='cuda:0')
0 225 tensor(0.2153, device='cuda:0') tensor(0.0600, device='cuda:0')
0 226 tensor(0.2840, device='cuda:0') tensor(0.0800, device='cuda:0')
0 227 tensor(0.1199, device='cuda:0') tensor(0.0400, device='cuda:0')
0 228 tensor(0.1372, device='cuda:0') tensor(0.0400, device='cuda:0')
0 229 tensor(0.4537, device='cuda:0') tensor(0.1000, device='cuda:0')
0 230 tensor(0.1515, device='cuda:0') tensor(0.0400, device='cuda:0')
0 231 tensor(0.3160, device='cuda:0') tensor(0.0800, device='cuda:0')
0 232 tensor(0.3799, device='cuda:0') tensor(0.1000, device='cuda:0')
0 233 tensor(0.3930, device='cuda:0') tensor(0.1200, device='cuda:0')
0 234 tensor(0.2917, device='cuda:0') tensor(0.0800, device='cuda:0')
0 235 tensor(0.3997, device='cuda:0') tensor(0.0800, device='cuda:0')
0 236 tensor(0.2429, device='cuda:0') tensor(0.0800, device='cuda:0')
0 237 tensor(0.5541, device='cuda:0') tensor(0.1200, device='cuda:0')
0 238 tensor(0.0948, device='cuda:0') tensor(0.0200, device='cuda:0')
0 239 tensor(0.4213, device='cuda:0') tensor(0.1800, device='cuda:0')
0 240 tensor(0.1040, device='cuda:0') tensor(0.0200, device='cuda:0')
0 241 tensor(0.5194, device='cuda:0') tensor(0.1600, device='cuda:0')
0 242 tensor(0.2716, device='cuda:0') tensor(0.1000, device='cuda:0')
0 243 tensor(0.1604, device='cuda:0') tensor(0.0200, device='cuda:0')
0 244 tensor(0.1836, device='cuda:0') tensor(0.0600, device='cuda:0')
0 245 tensor(0.2860, device='cuda:0') tensor(0.1000, device='cuda:0')
0 246 tensor(0.4223, device='cuda:0') tensor(0.1400, device='cuda:0')
0 247 tensor(0.2722, device='cuda:0') tensor(0.0800, device='cuda:0')
0 248 tensor(0.2243, device='cuda:0') tensor(0.0400, device='cuda:0')
0 249 tensor(0.1766, device='cuda:0') tensor(0.0600, device='cuda:0')
0 250 tensor(0.1888, device='cuda:0') tensor(0.0600, device='cuda:0')
0 251 tensor(0.3740, device='cuda:0') tensor(0.0800, device='cuda:0')
0 252 tensor(0.5580, device='cuda:0') tensor(0.0800, device='cuda:0')
0 253 tensor(0.1624, device='cuda:0') tensor(0.0200, device='cuda:0')
0 254 tensor(0.2184, device='cuda:0') tensor(0.1000, device='cuda:0')
0 255 tensor(0.2387, device='cuda:0') tensor(0.0800, device='cuda:0')
0 256 tensor(0.3692, device='cuda:0') tensor(0.0800, device='cuda:0')
0 257 tensor(0.1371, device='cuda:0') tensor(0.0400, device='cuda:0')
0 258 tensor(0.2403, device='cuda:0') tensor(0.0400, device='cuda:0')
0 259 tensor(0.2643, device='cuda:0') tensor(0.0800, device='cuda:0')
0 260 tensor(0.1736, device='cuda:0') tensor(0.0800, device='cuda:0')
0 261 tensor(0.1654, device='cuda:0') tensor(0.0400, device='cuda:0')
0 262 tensor(0.2683, device='cuda:0') tensor(0.0600, device='cuda:0')
0 263 tensor(0.3974, device='cuda:0') tensor(0.1400, device='cuda:0')
0 264 tensor(0.3204, device='cuda:0') tensor(0.0800, device='cuda:0')
0 265 tensor(0.2629, device='cuda:0') tensor(0.0800, device='cuda:0')
0 266 tensor(0.1742, device='cuda:0') tensor(0.1000, device='cuda:0')
0 267 tensor(0.1844, device='cuda:0') tensor(0.0400, device='cuda:0')
0 268 tensor(0.2095, device='cuda:0') tensor(0.0400, device='cuda:0')
0 269 tensor(0.2454, device='cuda:0') tensor(0.0800, device='cuda:0')
0 270 tensor(0.1001, device='cuda:0') tensor(0.0200, device='cuda:0')
0 271 tensor(0.2090, device='cuda:0') tensor(0.0600, device='cuda:0')
0 272 tensor(0.2388, device='cuda:0') tensor(0.0800, device='cuda:0')
0 273 tensor(0.1502, device='cuda:0') tensor(0.0200, device='cuda:0')
0 274 tensor(0.1760, device='cuda:0') tensor(0.1000, device='cuda:0')
0 275 tensor(0.4851, device='cuda:0') tensor(0.1400, device='cuda:0')
0 276 tensor(0.1894, device='cuda:0') tensor(0.0800, device='cuda:0')
0 277 tensor(0.1990, device='cuda:0') tensor(0.0600, device='cuda:0')
0 278 tensor(0.7107, device='cuda:0') tensor(0.1200, device='cuda:0')
0 279 tensor(0.1539, device='cuda:0') tensor(0.0400, device='cuda:0')
0 280 tensor(0.4364, device='cuda:0') tensor(0.0600, device='cuda:0')
0 281 tensor(0.3604, device='cuda:0') tensor(0.0800, device='cuda:0')
0 282 tensor(0.4205, device='cuda:0') tensor(0.1200, device='cuda:0')
0 283 tensor(0.3439, device='cuda:0') tensor(0.1200, device='cuda:0')
0 284 tensor(0.5485, device='cuda:0') tensor(0.1400, device='cuda:0')
0 285 tensor(0.1279, device='cuda:0') tensor(0.0200, device='cuda:0')
0 286 tensor(0.1399, device='cuda:0') tensor(0.0200, device='cuda:0')
0 287 tensor(0.3392, device='cuda:0') tensor(0.1000, device='cuda:0')
0 288 tensor(0.2468, device='cuda:0') tensor(0.0600, device='cuda:0')
0 289 tensor(0.2260, device='cuda:0') tensor(0.1000, device='cuda:0')
0 290 tensor(0.1828, device='cuda:0') tensor(0.0800, device='cuda:0')
0 291 tensor(0.3210, device='cuda:0') tensor(0.0800, device='cuda:0')
0 292 tensor(0.1451, device='cuda:0') tensor(0.0400, device='cuda:0')
0 293 tensor(0.3568, device='cuda:0') tensor(0.1200, device='cuda:0')
0 294 tensor(0.2551, device='cuda:0') tensor(0.0800, device='cuda:0')
0 295 tensor(0.3641, device='cuda:0') tensor(0.0800, device='cuda:0')
0 296 tensor(0.3031, device='cuda:0') tensor(0.0800, device='cuda:0')
0 297 tensor(0.2387, device='cuda:0') tensor(0.1000, device='cuda:0')
0 298 tensor(0.4976, device='cuda:0') tensor(0.1600, device='cuda:0')
0 299 tensor(0.3034, device='cuda:0') tensor(0.0800, device='cuda:0')
0 300 tensor(0.1762, device='cuda:0') tensor(0.0600, device='cuda:0')
0 301 tensor(0.3985, device='cuda:0') tensor(0.1000, device='cuda:0')
0 302 tensor(0.3203, device='cuda:0') tensor(0.1200, device='cuda:0')
0 303 tensor(0.3165, device='cuda:0') tensor(0.1000, device='cuda:0')
0 304 tensor(0.1958, device='cuda:0') tensor(0.0600, device='cuda:0')
0 305 tensor(0.1656, device='cuda:0') tensor(0.0400, device='cuda:0')
0 306 tensor(0.3106, device='cuda:0') tensor(0.0400, device='cuda:0')
0 307 tensor(0.4635, device='cuda:0') tensor(0.0800, device='cuda:0')
0 308 tensor(0.3988, device='cuda:0') tensor(0.1400, device='cuda:0')
0 309 tensor(0.1286, device='cuda:0') tensor(0.0400, device='cuda:0')
0 310 tensor(0.2379, device='cuda:0') tensor(0.0600, device='cuda:0')
0 311 tensor(0.3239, device='cuda:0') tensor(0.0800, device='cuda:0')
0 312 tensor(0.1443, device='cuda:0') tensor(0.0400, device='cuda:0')
0 313 tensor(0.0803, device='cuda:0') tensor(0.0200, device='cuda:0')
0 314 tensor(0.1711, device='cuda:0') tensor(0.0600, device='cuda:0')
0 315 tensor(0.0584, device='cuda:0') tensor(0., device='cuda:0')
